LP3000860-DNA_E09,QMS-1489
LP3000947-DNA_B06,QMS-1488
LP3000947-DNA_D05,QMS-1487
LP3000539-DNA_A01,QMS-1486
LP3000947-DNA_F11,QMS-1485
LP3000860-DNA_C11,QMS-1484
LP3000860-DNA_F12,QMS-1483
LP3000860-DNA_E10,QMS-1482
LP3000860-DNA_H09,QMS-1481
LP3000539-DNA_D01,QMS-1480
LP3000984-DNA_D09,QMS-1476
LP3000995-DNA_E07,QMS-1475
LP3000995-DNA_D08,QMS-1474
LP3000862-DNA_D04,QMS-1473
LP3000924-DNA_F01,QMS-1472
LP3000984-DNA_G02,QMS-1471
LP3000716-DNA_D07,QMS-1470
LP3000947-DNA_B11,QMS-1469
LP3000920-DNA_B01,QMS-1468
LP3000982-DNA_G01,QMS-1467
LP3000920-DNA_D11,QMS-1466
LP3000982-DNA_E02,QMS-1465
LP3000426-DNA_A07,QMS-1464
LP3000200-DNA_A04,QMS-1463
LP3000954-DNA_G03,QMS-1462
LP3000954-DNA_E12,QMS-1461
LP3000898-DNA_B02,QMS-1460
LP3000580-DNA_G12,QMS-1459
LP3000580-DNA_F08,QMS-1458
LP3000580-DNA_A01,QMS-1457
LP3000984-DNA_G12,QMS-1455
LP3000995-DNA_A03,QMS-1454
LP3000612-DNA_G01,QMS-1453
LP3000555-DNA_E11,QMS-1451
LP3000433-DNA_F05,QMS-1450
LP3000433-DNA_H03,QMS-1449
LP3000898-DNA_C02,QMS-1448
LP3000898-DNA_D05,QMS-1447
LP3000898-DNA_A05,QMS-1446
LP3000898-DNA_D03,QMS-1444
LP3000612-DNA_F12,QMS-1443
LP3000984-DNA_B03,QMS-1442
LP3000917-DNA_F02,QMS-1441
LP3000984-DNA_H01,QMS-1440
LP3000984-DNA_B07,QMS-1439
LP3000917-DNA_C05,QMS-1438
LP3000847-DNA_A05,QMS-1437
LP3000898-DNA_E05,QMS-1436
LP3000612-DNA_D08,QMS-1435
LP3000898-DNA_G05,QMS-1434
LP3000898-DNA_F05,QMS-1433
LP3000917-DNA_H06,QMS-1432
LP3000592-DNA_H05,QMS-1431
LP3000612-DNA_E09,QMS-1430
LP3000612-DNA_E07,QMS-1429
LP3000612-DNA_G07,QMS-1428
LP3000592-DNA_D03,QMS-1427
LP3000612-DNA_C09,QMS-1426
LP3000612-DNA_B02,QMS-1425
LP3000592-DNA_D11,QMS-1424
LP3000592-DNA_A10,QMS-1423
LP3000592-DNA_E11,QMS-1422
LP3000592-DNA_E01,QMS-1421
LP3000241-DNA_F07,QMS-1414
LP3000165-DNA_E03,QMS-1413
LP3000119-DNA_E06,QMS-1412
LP3000984-DNA_G07,QMS-1409
LP3000119-DNA_D03,QMS-1407
LP3000971-DNA_D06,QMS-1400
LP3000920-DNA_H06,QMS-1371
LP3000822-DNA_B03,QMS-1369
LP3000822-DNA_B02,QMS-1368
LP3000822-DNA_C07,QMS-1367
LP3000995-DNA_D07,QMS-1366
